"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0932200101","MW Plane 168","17 52 34.49","-26 27 37.0","4357","2023-09-23 21:34:39.000","2023-09-24 00:46:19.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-09 00:00:00.000","20.10_20230417_1156",
"0932200201","MW Plane 169","17 51 34.30","-26 08 05.3","4362","2023-10-04 01:08:53.000","2023-10-04 04:20:33.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-23 00:00:00.000","20.10_20230417_1156",
"0932200301","MW Plane 170","17 53 14.99","-26 06 56.0","4351","2023-09-12 08:53:56.000","2023-09-12 12:05:36.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-29 00:00:00.000","20.10_20230417_1156",
"0932200401","MW Plane 171","17 52 24.89","-25 46 55.0","4362","2023-10-04 04:40:33.000","2023-10-04 07:52:13.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-20 00:00:00.000","20.10_20230417_1156",
"0932200501","MW Plane 172","17 56 34.29","-26 08 55.7","4364","2023-10-07 19:23:11.000","2023-10-07 22:34:51.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-31 00:00:00.000","20.10_20230417_1156",
"0932200601","MW Plane 173","17 54 02.10","-25 48 56.7","4361","2023-10-02 14:41:41.000","2023-10-02 22:56:41.000","29700","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-23 00:00:00.000","20.10_20230417_1156",
"0932200701","MW Plane 174","17 51 30.80","-25 28 47.8","4355","2023-09-19 23:59:48.000","2023-09-20 06:56:28.000","25000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-09 00:00:00.000","20.10_20230417_1156",
"0932200801","MW Plane 175","17 53 12.09","-25 29 02.3","4361","2023-10-02 01:15:01.000","2023-10-02 07:38:21.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-23 00:00:00.000","20.10_20230417_1156",
"0932200901","MW Plane 176","17 55 43.79","-25 49 04.7","4360","2023-09-29 18:26:55.000","2023-09-29 21:38:35.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-16 00:00:00.000","20.10_20230417_1156",
"0932201001","MW Plane 177","17 58 14.89","-24 09 53.3","4360","2023-09-29 21:58:35.000","2023-09-30 01:10:15.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-20 00:00:00.000","20.10_20230417_1156",
"0932201101","MW Plane 178","17 59 55.28","-24 09 50.6","4454","2024-04-04 14:31:49.000","2024-04-04 17:43:29.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-23 00:00:00.000","21.23_20231215_1101",
